World Zone,Area (km²)
Eastern Africa,4800000
Central Africa,5400000
Northern Africa,8560000
Southern Africa,1220000
Western Africa,6140000
Caribbean,2754000
Central America,522000
South America,17840000
North America,24710000
Eastern Asia,11840000
Central Southern Asia,2950000
Eastern Southern Asia,3100000
Western Asia,6730000
Eastern Europe,4800000
Northern Europe,3500000
Southern Europe,3000000
Western Europe,2942000
Oceania,8526000
World,119334000
